date,price_usd_per_troy_oz
2005-01,0.0985
2005-02,0.101
2005-03,0.1051
2005-04,0.1054
2005-05,0.1008
2005-06,0.1098
2005-07,0.1122
2005-08,0.1179
2005-09,0.1198
2005-10,0.1262
2005-11,0.1331
2005-12,0.1424
2006-01,0.1476
2006-02,0.1547
2006-03,0.1594
2006-04,0.1992
2006-05,0.2507
2006-06,0.2247
2006-07,0.2403
2006-08,0.2392
2006-09,0.2371
2006-10,0.2332
2006-11,0.2186
2006-12,0.2078
2007-01,0.177
2007-02,0.1779
2007-03,0.2011
2007-04,0.2412
2007-05,0.2388
2007-06,0.2337
2007-07,0.2482
2007-08,0.2333
2007-09,0.2386
2007-10,0.2495
2007-11,0.2164
2007-12,0.2062
2008-01,0.2202
2008-02,0.247
2008-03,0.2623
2008-04,0.271
2008-05,0.2599
2008-06,0.2579
2008-07,0.2615
2008-08,0.2374
2008-09,0.217
2008-10,0.1522
2008-11,0.116
2008-12,0.0966
2009-01,0.1014
2009-02,0.1035
2009-03,0.1173
2009-04,0.138
2009-05,0.1428
2009-06,0.156
2009-07,0.1626
2009-08,0.1921
2009-09,0.1927
2009-10,0.1961
2009-11,0.2078
2009-12,0.217
2010-01,0.2292
2010-02,0.2136
2010-03,0.2322
2010-04,0.2404
2010-05,0.2128
2010-06,0.2022
2010-07,0.21
2010-08,0.2271
2010-09,0.2404
2010-10,0.2578
2010-11,0.2631
2010-12,0.2847
2011-01,0.2965
2011-02,0.3073
2011-03,0.2956
2011-04,0.2949
2011-05,0.2778
2011-06,0.282
2011-07,0.3002
2011-08,0.2799
2011-09,0.2582
2011-10,0.23
2011-11,0.2358
2011-12,0.2351
2012-01,0.2508
2012-02,0.2626
2012-03,0.2635
2012-04,0.2577
2012-05,0.2456
2012-06,0.231
2012-07,0.2359
2012-08,0.2336
2012-09,0.2516
2012-10,0.2508
2012-11,0.2398
2012-12,0.2478
2013-01,0.2505
2013-02,0.2507
2013-03,0.238
2013-04,0.2246
2013-05,0.2255
2013-06,0.2177
2013-07,0.2148
2013-08,0.2235
2013-09,0.2227
2013-10,0.224
2013-11,0.2199
2013-12,0.2244
2014-01,0.2268
2014-02,0.2224
2014-03,0.2068
2014-04,0.2076
2014-05,0.2143
2014-06,0.2122
2014-07,0.2213
2014-08,0.2178
2014-09,0.2137
2014-10,0.2096
2014-11,0.2088
2014-12,0.2005
2015-01,0.1813
2015-02,0.1782
2015-03,0.1847
2015-04,0.1879
2015-05,0.1958
2015-06,0.1814
2015-07,0.1697
2015-08,0.1595
2015-09,0.1623
2015-10,0.1622
2015-11,0.1493
2015-12,0.1443
2016-01,0.1391
2016-02,0.143
2016-03,0.1541
2016-04,0.1516
2016-05,0.146
2016-06,0.1444
2016-07,0.1513
2016-08,0.1478
2016-09,0.1469
2016-10,0.1472
2016-11,0.1695
2016-12,0.1761
2017-01,0.179
2017-02,0.1848
2017-03,0.1812
2017-04,0.1768
2017-05,0.1742
2017-06,0.1779
2017-07,0.1862
2017-08,0.2017
2017-09,0.2046
2017-10,0.2117
2017-11,0.2123
2017-12,0.2126
2018-01,0.2198
2018-02,0.2179
2018-03,0.2115
2018-04,0.2131
2018-05,0.2123
2018-06,0.2167
2018-07,0.1944
2018-08,0.1882
2018-09,0.1882
2018-10,0.1935
2018-11,0.1927
2018-12,0.189
2019-01,0.1847
2019-02,0.196
2019-03,0.2003
2019-04,0.2003
2019-05,0.1872
2019-06,0.183
2019-07,0.1848
2019-08,0.1776
2019-09,0.1791
2019-10,0.1791
2019-11,0.1823
2019-12,0.189
2020-01,0.1876
2020-02,0.1769
2020-03,0.1612
2020-04,0.1573
2020-05,0.163
2020-06,0.179
2020-07,0.1982
2020-08,0.2024
2020-09,0.2085
2020-10,0.2088
2020-11,0.2199
2020-12,0.2417
2021-01,0.248
2021-02,0.2635
2021-03,0.2796
2021-04,0.29
2021-05,0.3162
2021-06,0.2996
2021-07,0.294
2021-08,0.2914
2021-09,0.29
2021-10,0.3057
2021-11,0.3026
2021-12,0.2971
2022-01,0.3043
2022-02,0.3093
2022-03,0.3182
2022-04,0.3165
2022-05,0.2922
2022-06,0.282
2022-07,0.2347
2022-08,0.2485
2022-09,0.2409
2022-10,0.238
2022-11,0.2504
2022-12,0.2604
2023-01,0.2802
2023-02,0.278
2023-03,0.2755
2023-04,0.274
2023-05,0.2564
2023-06,0.2612
2023-07,0.2637
2023-08,0.2596
2023-09,0.2574
2023-10,0.247
2023-11,0.2547
2023-12,0.2615
2024-01,0.2598
2024-02,0.2583
2024-03,0.2704
2024-04,0.2938
2024-05,0.3147
2024-06,0.3001
2024-07,0.2919
2024-08,0.2793
2024-09,0.288
2024-10,0.2965
2024-11,0.2823
2024-12,0.2771
2025-01,0.2792
2025-02,0.2902
2025-03,0.3028
2025-04,0.2853
2025-05,0.2965
2025-06,0.3059
