date,price_usd_per_troy_oz
2005-01,424.03
2005-02,423.35
2005-03,433.85
2005-04,429.233
2005-05,421.873
2005-06,430.657
2005-07,424.479
2005-08,437.93
2005-09,456.048
2005-10,469.898
2005-11,476.666
2005-12,510.097
2006-01,549.864
2006-02,554.995
2006-03,557.093
2006-04,610.653
2006-05,675.393
2006-06,596.145
2006-07,633.71
2006-08,632.593
2006-09,598.186
2006-10,585.78
2006-11,627.827
2006-12,629.791
2007-01,631.166
2007-02,664.745
2007-03,654.895
2007-04,679.368
2007-05,667.31
2007-06,655.66
2007-07,665.38
2007-08,665.411
2007-09,712.653
2007-10,754.604
2007-11,806.248
2007-12,803.203
2008-01,889.595
2008-02,922.298
2008-03,968.434
2008-04,909.705
2008-05,888.663
2008-06,889.488
2008-07,939.772
2008-08,839.025
2008-09,829.932
2008-10,806.62
2008-11,760.863
2008-12,816.092
2009-01,858.69
2009-02,943.0
2009-03,924.273
2009-04,890.2
2009-05,928.645
2009-06,945.67
2009-07,934.228
2009-08,949.375
2009-09,996.591
2009-10,1043.159
2009-11,1127.036
2009-12,1134.724
2010-01,1117.963
2010-02,1095.413
2010-03,1113.337
2010-04,1148.688
2010-05,1205.434
2010-06,1232.92
2010-07,1192.966
2010-08,1215.81
2010-09,1270.977
2010-10,1342.024
2010-11,1369.886
2010-12,1390.553
2011-01,1360.46
2011-02,1374.68
2011-03,1423.26
2011-04,1480.89
2011-05,1512.58
2011-06,1529.36
2011-07,1572.75
2011-08,1759.01
2011-09,1772.14
2011-10,1666.43
2011-11,1739.0
2011-12,1639.97
2012-01,1654.05
2012-02,1744.82
2012-03,1675.95
2012-04,1649.2
2012-05,1589.04
2012-06,1598.76
2012-07,1594.29
2012-08,1630.31
2012-09,1744.81
2012-10,1746.58
2012-11,1721.64
2012-12,1684.762
2013-01,1671.84782608696
2013-02,1627.57
2013-03,1593.08619047619
2013-04,1487.85727272727
2013-05,1414.02695652174
2013-06,1343.35
2013-07,1285.51565217391
2013-08,1351.74181818182
2013-09,1348.6
2013-10,1316.58
2013-11,1275.86
2013-12,1221.5119047619
2014-01,1244.27
2014-02,1299.58
2014-03,1336.08
2014-04,1298.45
2014-05,1288.74
2014-06,1279.1
2014-07,1310.59
2014-08,1295.13
2014-09,1236.55
2014-10,1222.49
2014-11,1175.33
2014-12,1200.62
2015-01,1250.75
2015-02,1227.08
2015-03,1178.63
2015-04,1198.93
2015-05,1198.63
2015-06,1181.5
2015-07,1128.31
2015-08,1117.93
2015-09,1124.77
2015-10,1159.25
2015-11,1086.44
2015-12,1075.74
2016-01,1097.91
2016-02,1199.5
2016-03,1245.14
2016-04,1242.26
2016-05,1260.95
2016-06,1276.4
2016-07,1336.66
2016-08,1340.17
2016-09,1326.61
2016-10,1266.55
2016-11,1238.35
2016-12,1157.36
2017-01,1192.1
2017-02,1234.2
2017-03,1231.42
2017-04,1266.88
2017-05,1246.04
2017-06,1260.26
2017-07,1236.84
2017-08,1283.04
2017-09,1314.07
2017-10,1279.51
2017-11,1281.9
2017-12,1264.45
2018-01,1331.3
2018-02,1330.73
2018-03,1324.66
2018-04,1334.76
2018-05,1303.45
2018-06,1281.57
2018-07,1237.71
2018-08,1201.71
2018-09,1198.39
2018-10,1215.39
2018-11,1220.65
2018-12,1250.4
2019-01,1291.75
2019-02,1320.07
2019-03,1300.9
2019-04,1285.91
2019-05,1283.7
2019-06,1359.04
2019-07,1412.89
2019-08,1500.41
2019-09,1510.58
2019-10,1494.81
2019-11,1470.79
2019-12,1479.13
2020-01,1560.67
2020-02,1597.1
2020-03,1591.93
2020-04,1683.17
2020-05,1715.91
2020-06,1732.22
2020-07,1846.51
2020-08,1968.63
2020-09,1921.92
2020-10,1900.27
2020-11,1866.3
2020-12,1858.42
2021-01,1866.98
2021-02,1808.17
2021-03,1718.23
2021-04,1760.04
2021-05,1850.26
2021-06,1834.57
2021-07,1807.84
2021-08,1785.28
2021-09,1775.14
2021-10,1776.85
2021-11,1821.76
2021-12,1790.43
2022-01,1816.02
2022-02,1856.3
2022-03,1947.83
2022-04,1936.86
2022-05,1848.5
2022-06,1836.57
2022-07,1732.74
2022-08,1764.56
2022-09,1680.78
2022-10,1664.45
2022-11,1725.07
2022-12,1797.55
2023-01,1897.71
2023-02,1854.54
2023-03,1912.73
2023-04,1999.77
2023-05,1992.13
2023-06,1942.9
2023-07,1951.02
2023-08,1918.7
2023-09,1915.95
2023-10,1916.25
2023-11,1984.11
2023-12,2026.18
2024-01,2034.04
2024-02,2023.24
2024-03,2158.01
2024-04,2331.45
2024-05,2351.13
2024-06,2326.44
2024-07,2398.2
2024-08,2470.15
2024-09,2570.55
2024-10,2690.08
2024-11,2651.13
2024-12,2648.01
2025-01,2722.9476260230654
2025-02,2897.1157997532896
2025-03,2986.4095284598216
2025-04,3211.152367001488
2025-05,3280.7380952380954
2025-06,3350.939990234375
2025-07,3341.808699898098
2025-08,3372.7428385416665
2025-09,3682.2999906994046
2025-10,4044.3739066745925
2025-11,4082.1157612047696
2025-12,4307.3800048828125
