date,price_usd_per_troy_oz
2005-01,6.612
2005-02,7.062
2005-03,7.24
2005-04,7.112
2005-05,7.035
2005-06,7.284
2005-07,7.0
2005-08,6.997
2005-09,7.165
2005-10,7.664
2005-11,7.882
2005-12,8.627
2006-01,9.175
2006-02,9.52
2006-03,10.419
2006-04,12.667
2006-05,13.426
2006-06,10.745
2006-07,11.184
2006-08,12.199
2006-09,11.609
2006-10,11.562
2006-11,12.968
2006-12,13.232
2007-01,12.83
2007-02,13.922
2007-03,13.099
2007-04,13.714
2007-05,13.128
2007-06,13.084
2007-07,12.903
2007-08,12.276
2007-09,12.856
2007-10,13.681
2007-11,14.646
2007-12,14.362
2008-01,16.001
2008-02,17.618
2008-03,19.126
2008-04,17.494
2008-05,17.073
2008-06,17.014
2008-07,18.047
2008-08,14.498
2008-09,12.288
2008-10,10.313
2008-11,9.858
2008-12,10.348
2009-01,11.397
2009-02,13.422
2009-03,13.129
2009-04,12.516
2009-05,14.13
2009-06,14.616
2009-07,13.373
2009-08,14.397
2009-09,16.478
2009-10,17.201
2009-11,17.894
2009-12,17.583
2010-01,17.762
2010-02,15.862
2010-03,17.1
2010-04,18.129
2010-05,18.426
2010-06,18.45
2010-07,17.938
2010-08,18.443
2010-09,20.576
2010-10,23.467
2010-11,26.63
2010-12,29.302
2011-01,28.455
2011-02,31.062
2011-03,35.916
2011-04,42.879
2011-05,36.865
2011-06,35.75
2011-07,38.11
2011-08,40.343
2011-09,38.034
2011-10,32.141
2011-11,33.238
2011-12,30.189
2012-01,30.993
2012-02,34.21
2012-03,33.007
2012-04,31.575
2012-05,28.743
2012-06,28.074
2012-07,27.419
2012-08,28.938
2012-09,33.778
2012-10,33.12
2012-11,32.805
2012-12,31.737
2013-01,31.172
2013-02,30.198
2013-03,28.804
2013-04,25.239
2013-05,23.064
2013-06,21.094
2013-07,19.746
2013-08,22.103
2013-09,22.585
2013-10,21.983
2013-11,20.676
2013-12,19.634
2014-01,19.896
2014-02,20.868
2014-03,20.658
2014-04,19.712
2014-05,19.334
2014-06,19.898
2014-07,20.9
2014-08,19.711
2014-09,18.433
2014-10,17.18
2014-11,16.003
2014-12,16.22
2015-01,17.197
2015-02,16.776
2015-03,16.237
2015-04,16.35
2015-05,16.846
2015-06,16.092
2015-07,15.095
2015-08,14.941
2015-09,14.759
2015-10,15.773
2015-11,14.453
2015-12,14.085
2016-01,14.083
2016-02,15.125
2016-03,15.423
2016-04,16.304
2016-05,16.843
2016-06,17.252
2016-07,19.996
2016-08,19.519
2016-09,19.322
2016-10,17.663
2016-11,17.322
2016-12,16.394
2017-01,16.886
2017-02,17.919
2017-03,17.622
2017-04,18.047
2017-05,16.792
2017-06,16.937
2017-07,16.207
2017-08,16.96
2017-09,17.447
2017-10,16.946
2017-11,16.987
2017-12,16.195
2018-01,17.164
2018-02,16.607
2018-03,16.483
2018-04,16.632
2018-05,16.47
2018-06,16.504
2018-07,15.723
2018-08,14.957
2018-09,14.254
2018-10,14.568
2018-11,14.359
2018-12,14.745
2019-01,15.62
2019-02,15.799
2019-03,15.289
2019-04,15.044
2019-05,14.642
2019-06,15.037
2019-07,15.769
2019-08,17.208
2019-09,18.121
2019-10,17.635
2019-11,17.154
2019-12,17.165
2020-01,17.955
2020-02,17.846
2020-03,14.929
2020-04,15.095
2020-05,16.302
2020-06,17.723
2020-07,20.588
2020-08,26.991
2020-09,25.794
2020-10,24.185
2020-11,24.068
2020-12,25.048
2021-01,25.867
2021-02,27.296
2021-03,25.625
2021-04,25.68
2021-05,27.514
2021-06,26.92
2021-07,25.708
2021-08,23.964
2021-09,23.246
2021-10,23.387
2021-11,24.149
2021-12,22.528
2022-01,23.143
2022-02,23.532
2022-03,25.302
2022-04,24.528
2022-05,21.88
2022-06,21.512
2022-07,19.103
2022-08,19.684
2022-09,18.894
2022-10,19.434
2022-11,21.065
2022-12,23.366
2023-01,23.758
2023-02,21.908
2023-03,22.015
2023-04,25.074
2023-05,24.232
2023-06,23.385
2023-07,24.123
2023-08,23.459
2023-09,23.114
2023-10,22.34
2023-11,23.513
2023-12,23.955
2024-01,22.908
2024-02,22.678
2024-03,24.539
2024-04,27.5
2024-05,29.493
2024-06,29.622
2024-07,29.795
2024-08,28.552
2024-09,30.024
2024-10,32.475
2024-11,31.02
2024-12,30.361
2025-01,30.4
2025-02,32.129
2025-03,33.267
2025-04,32.262
2025-05,32.812
2025-06,36.054
2025-07,37.685
2025-08,38.181
2025-09,42.739
2025-10,49.386
2025-11,50.829
2025-12,65.189
